timestamp,function,duration_seconds
2026-06-14 18:55:59.200832,apply_high_pass_filter,0.0008,4096
2026-06-14 18:55:59.466200,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:59.951544,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:59.970596,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:00.231479,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:00.486856,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:00.741411,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:00.986467,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:01.252160,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:01.496163,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:01.761136,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:02.012615,apply_high_pass_filter,0.0011,4096
2026-06-14 18:56:02.276007,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:02.531718,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:02.796532,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:03.036544,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:03.564297,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:03.575450,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:03.811084,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:04.076010,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:04.587981,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:04.611004,apply_high_pass_filter,0.0008,4096
2026-06-14 18:56:04.832056,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:05.090786,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:05.572349,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:05.620307,apply_high_pass_filter,0.0008,4096
2026-06-14 18:56:05.851817,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:06.121920,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:06.375617,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:06.939165,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:06.951608,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:07.130481,apply_high_pass_filter,0.0008,4096
2026-06-14 18:56:07.381383,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:07.665153,apply_high_pass_filter,0.0014,4096
2026-06-14 18:56:07.912563,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:08.154036,apply_high_pass_filter,0.0011,4096
2026-06-14 18:56:08.433152,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:08.678814,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:08.928796,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:09.193387,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:09.442962,apply_high_pass_filter,0.0013,4096
